,ticker,company_name,industry,sub_industry,last_close_price,yoy_growth,volatility,assets_billion,liabilities_billion,la_ratio,gross_profit_margin,net_profit_margin,pe_ratio
0,ATVI,Activision Blizzard,Communication Services,Communication Services,60.6,-0.289,0.11,11.21,2.02,0.18,0.7454106280193237,0.3086956521739131,23.24
1,ADBE,Adobe Inc.,Information Technology,Information Technology,662.1,0.28,0.14,8.62,6.19,0.72,0.8813214739517153,0.30800508259212195,57.56
2,AMD,Advanced Micro Devices,Information Technology,Information Technology,154.8,0.437,0.19,7.99,3.56,0.45,0.48365406909343844,0.21400417342916767,36.49
3,ALGN,Align Technology,Health Care,Health Care,634.2,0.25,0.11,2.46,1.79,0.73,0.7431102362204725,0.1781496062992126,76.22
4,GOOGL,Alphabet Inc.,Communication Services,Communication Services,2843.7,0.372,0.17,184.11,61.78,0.34,0.5758315673085783,0.2907951718418871,29.01
5,GOOG,Alphabet Inc.,Communication Services,Communication Services,2856.1,0.372,0.17,184.11,61.78,0.34,0.5758315673085783,0.2907951718418871,28.92
6,AMZN,Amazon (company),Consumer Discretionary,Consumer Discretionary,3504.6,0.088,0.05,138.53,123.99,0.9,0.43210121647475,0.028480669963541858,57.20
7,AEP,American Electric Power,Utilities,Utilities,82.6,-0.028,0.04,5.79,9.95,1.72,0.46895955007570844,0.17218256543370106,17.31
8,AMGN,Amgen,Health Care,Health Care,201.1,-0.118,0.06,24.38,14.84,0.61,0.7600656128839846,0.28094243960632265,21.61
9,ADI,Analog Devices,Information Technology,Information Technology,178.0,0.226,0.07,5.38,2.77,0.52,0.47948717948717956,0.03247863247863248,37.96
10,ANSS,Ansys,Information Technology,Information Technology,382.5,0.136,0.06,1.76,0.6,0.34,0.8934240362811792,0.1927437641723356,65.22
11,AAPL,Apple Inc.,Information Technology,Information Technology,156.8,0.256,0.08,134.84,125.48,0.93,0.4219529750479846,0.24653310940499037,27.64
12,AMAT,Applied Materials,Information Technology,Information Technology,143.3,0.423,0.15,16.11,6.34,0.39,0.480973379062551,0.27960150253143884,23.77
13,ASML,ASML Holding,Information Technology,Information Technology,782.0,0.44,0.18,15.68,9.16,0.58,0.5172676970043885,0.3319977103606182,55.54
14,TEAM,Atlassian,Information Technology,Information Technology,391.5,0.428,0.27,2.01,2.4,1.19,0.8403908794788274,-0.6514657980456027,
15,ADSK,Autodesk,Information Technology,Information Technology,254.2,-0.073,0.06,2.65,3.28,1.24,0.9174067495559503,0.12166962699822383,54.99
16,ADP,Automatic Data Processing,Information Technology,Information Technology,229.6,0.237,0.09,52.05,49.67,0.95,0.44702505219206684,0.18293319415448853,32.94
17,BIDU,Baidu,Communication Services,Communication Services,153.1,0.089,0.22,215.39,73.92,0.34,0.49481532533441935,-0.5187494126123868,7.77
18,BIIB,Biogen,Health Care,Health Care,242.9,-0.004,0.14,7.16,4.21,0.59,0.8157610651313422,0.11838790931989926,21.99
19,BKNG,Booking Holdings,Consumer Discretionary,Consumer Discretionary,2155.6,0.048,0.06,14.35,5.78,0.4,0.8736099230111206,0.1644568006843456,235.27
20,AVGO,Broadcom Inc.,Information Technology,Information Technology,546.6,0.277,0.07,15.64,6.5,0.42,0.7449100029507231,0.2767778105635881,45.11
21,CDNS,Cadence Design Systems,Information Technology,Information Technology,178.4,0.346,0.12,1.54,0.91,0.59,0.8974700399467377,0.23435419440745672,62.32
22,CDW,CDW,Information Technology,Information Technology,191.2,0.309,0.13,5.29,3.83,0.72,0.17264150943396228,0.05037735849056604,27.83
23,CERN,Cerner,Health Care,Health Care,72.3,-0.025,0.04,2.44,1.55,0.64,0.8290190735694823,0.11989100817438691,30.93
24,CHTR,Charter Communications,Communication Services,Communication Services,672.9,0.045,0.08,3.5,12.24,3.5,0.4633348547086566,0.0925756884223338,37.72
25,CHKP,Check Point,Information Technology,Information Technology,110.3,-0.085,0.04,2.11,1.47,0.7,0.8857677902621722,0.35018726591760296,18.56
26,CTAS,Cintas,Industrials,Industrials,428.3,0.157,0.09,2.48,2.27,0.92,0.47601476014760147,0.17448603057459147,38.65
27,CSCO,Cisco Systems,Information Technology,Information Technology,54.7,0.219,0.09,37.59,23.24,0.62,0.6242635658914729,0.23100775193798448,22.39
28,CTSH,Cognizant,Information Technology,Information Technology,78.4,0.0,0.05,7.0,3.32,0.47,0.37879426644182124,0.11467116357504217,23.56
29,CMCSA,Comcast,Communication Services,Communication Services,51.1,-0.014,0.05,27.43,26.74,0.97,0.6569080467357581,0.13317710739982838,20.87
30,CPRT,Copart,Industrials,Industrials,145.9,0.21,0.11,2.04,0.49,0.24,0.4864197530864197,0.32098765432098764,39.82
31,COST,Costco,Consumer Staples,Consumer Staples,546.1,0.289,0.13,29.5,29.44,1.0,0.1267171918627842,0.026645392899880334,42.81
32,CRWD,CrowdStrike,Information Technology,Information Technology,232.6,0.352,0.14,2.25,1.14,0.5,0.7307692307692307,-0.16863905325443787,
33,CSX,CSX Corporation,Industrials,Industrials,35.6,,0.06,3.9,2.27,0.58,0.534629404617254,0.29404617253948967,20.23
34,DXCM,DexCom,Health Care,Health Care,592.0,0.462,0.21,3.66,0.73,0.2,0.6876923076923077,0.10923076923076921,101.08
35,DOCU,DocuSign,Information Technology,Information Technology,249.6,0.091,0.13,1.18,1.21,1.02,0.78125,-0.05078125,
